911716,PROTOVRD,Indicates the Panel is configured to perform Takes even on Lock/Protected Destinations
911717,Self_Cfg,Indicates the Panel is in Self Configuration mode
911718,SrcName=,Used for Information Display Sequences typically SrcName=
911719,DstName=,Used for Information Display Sequences typically DstName=
911720,SrcArea=,Used for Information Display Sequences typically SrcArea=
911721,DstArea=,Used for Information Display Sequences typically DstArea=
911722,Tieline=,Used for Information Display Sequences typically Tieline=
911723,TlyLvl=,Used for Information Display Sequences typically TlyLvl=
911724,LvlPage1,Info Indicates Level Page 1 is currently displayed
911725,LvlPage2,Info Indicates Level Page 2 is currently displayed
911726,LvlPage3,Info Indicates Level Page 3 is currently displayed
911727,LvlPage4,INfo Indicates Level Page 4 is currently displayed
911728,SuperUsr,Used to inform that the destination is locked by Super User such as RCE
911736,LvlInvLk,Indicates Level Inverse Lock is active 
911737,NoSvrPnl,Indicates that in a Client-Server panel group the Server is not online or available
911738,GPI_HELD,Indicates that a Joystick Source Select Non Latching input is being held
911739,SelfProt,Indicates that a panel is in Self Protect mode preventing any crosspong changes
911740,Parked,Indicates the Destination is Parked
911741,NoStatus,Indicate on MCO panel to Show NOStatus message on the destination bus when ever there is no linkage Established.
911742,Chop_To:,Indicates panel is in Chop mode and is awaiting a source input to chop
911743,STEREO,Indicates Audio Attribute Stereo Status
911744,SUM,Indicates Audio Attribute Sum Status
911745,SWAP,Indicates Audio Attribute Swap Status
911746,MUTE,Indicates Audio Attribute Mute Status
911747,INV_L_R,Indicates Audio Attribute Invert on Channels 1 Left and 2 Right Status
911748,INV_L ,Indicates Audio Attribute Channel 1 Left Invert Status
911749,INV_R,Indicates Audio Attribute Channel 2 Right Invert Status
911750,MONO_L,Indicates Audio Attribute Channel 1 Left Mono Status
911751,MONO_R,Indicates Audio Attribute Channel 2 Right Mono Status
911752,MonoInvL,Indicates 2 Audio Attributes applied Mono plus Invert on Channel 1 Left
911753,MonoInvR,Indicates 2 Audio Attributes applied Mono plus Invert on Channel 2 Right
911754,SwapInvL,Indicates 2 Audio Attributes applied Swap plus Invert on Channel 1 Left
911755,SwapInvR,Indicates 2 Audio Attributes applied Swap plus Invert on Channel 2 Right
911756,SumInvL,Indicates 2 Audio Attributes applied Sum plus Invert on Channel 1 Left
911757,SumInvR,Indicates 2 Audio Attributes applied Sum plus Invert on Channel 2 Right
911758,SwapINVT,Indicates 3 Audio Attributes applied Swap plus Invert on both Channel 1 Left and 2 Right
911759,SumINVT,Indicates 3 Audio Attributes applied Sum plus Invert on both Channel 1 and 2 Left and Right
911760,SrcExcl,Indicates a Source is Excluded
911761,Template,Indicates a panel is attempting to operate using a template rather than a config
911770,DUP_NAME,Indicates if a Panel fails to Signon due to Duplicate Name
911771,MAX_PNLS,Indicates if a Panel fails to Signon due to exceeds the allowed panels limit which is 128.
911772,UNKN_PNL,Indicates if a Panel fails to Signon due to unknown panel type (not suppoted)
911773,PNL_NAME,Indicates if a Panel fails to Signon due to Panel Name length exceeds more than 8 characters
911774,OUI_EDIT,Indicate if a Panel fails to Signon due to the same Panel Name being edited in OUI
911775,SRVR_ERR,Indicate if a Panel fails to Signon due to server error
911252,ChpTLErr,Could not Chop as Tie Line Chopping is not allowed
911253,ChpLvErr,Chop on non-Video Levels not supported
911254,AttLvErr, Attributes are not supported on non audio levels
911932,TLNoPath,Indicates no Tie-Line path found between the ultimate source and final destination
911933,TLBusy,"Indicates that there is a Tie-Line path between the source and destinaiton, however all the applicable Tie-Lines are already being used."
911934,TLIntLvl,Indicates that the TLM has received an Interlevel route request.
911935,TLGenErr,Indicates that an unknown error occurred in the TLM.
911936,TLBlock,Indicates that a Source Block blocks the route request.
911776,NoCateg,Indicates that no category is applied to the button
911777,DstGang,Indicates that the destinations are ganged and the operation is not allowed
911778,DfltAtt,Indicates that the default attribute that is Stereo cannot be removed
911779,NoPnlGrp,Used in PXD and PXYE panel to indicate there is no online panel group Master
